Wind MFI data, 1 minute resolution, GSM coordinates
Year  DOY  millisecs            B          Bx          By          Bz
                               nT          nT          nT          nT
2012  1  14610000          4.79        -4.37         1.17        -1.56
2012  1  14670000          4.78        -4.33         1.29        -1.54
2012  1  14730000          4.83        -4.41         1.24        -1.46
2012  1  14790000          4.85        -4.41         1.55        -1.28
2012  1  14850000          4.83        -4.39         1.53        -1.27
2012  1  14910000          4.85        -4.44         1.69        -0.96
2012  1  14970000          4.75        -4.26         1.86        -0.99
2012  1  15030000          4.73        -4.20         1.91        -1.04
2012  1  15090000          4.70        -4.12         1.95        -1.16
2012  1  15150000          4.68        -4.03         2.23        -0.83
2012  1  15210000          4.67        -4.10         2.03        -0.94
2012  1  15270000          4.41        -3.71         2.31        -0.31
2012  1  15330000          4.41        -3.72         2.34        -0.32
2012  1  15390000          4.21        -2.94         2.70         1.03
2012  1  15450000          3.90        -2.59         2.53         1.42
2012  1  15510000          4.08        -3.07         2.36         0.85
2012  1  15570000          4.36        -3.84         2.01        -0.05
2012  1  15630000          4.31        -3.83         1.95        -0.29
2012  1  15690000          4.38        -3.83         2.08        -0.38
2012  1  15750000          4.44        -3.72         2.35        -0.44
2012  1  15810000          4.42        -3.63         2.49        -0.17
2012  1  15870000          4.47        -3.27         3.02         0.15
2012  1  15930000          4.30        -3.70         2.15        -0.33
2012  1  15990000          4.11        -3.13         2.66         0.13
2012  1  16050000          3.97        -3.00         2.59         0.13
2012  1  16110000          4.06        -3.00         2.71         0.24
2012  1  16170000          4.09        -2.85         2.92         0.24
2012  1  16230000          4.08        -2.75         3.00         0.27
2012  1  16290000          4.07        -2.85         2.89         0.26
2012  1  16350000          3.92        -2.81         2.72         0.25
2012  1  16410000          3.95        -2.88         2.67         0.35
2012  1  16470000          4.07        -2.92         2.81         0.38
2012  1  16530000          4.02        -2.89         2.77         0.34
2012  1  16590000          3.88        -3.06         2.36         0.30
2012  1  16650000          3.96        -3.19         2.32         0.30
2012  1  16710000          4.20        -3.69         1.92         0.48
2012  1  16770000          4.24        -3.85         1.70         0.52
2012  1  16830000          4.19        -3.70         1.88         0.60
2012  1  16890000          4.21        -3.57         2.15         0.51
2012  1  16950000          4.13        -3.50         2.10         0.58
2012  1  17010000          3.92        -3.41         1.80         0.69
2012  1  17070000          3.92        -3.23         2.09         0.72
2012  1  17130000          3.96        -3.21         2.14         0.83
2012  1  17190000          3.97        -3.21         2.18         0.80
2012  1  17250000          4.26        -3.32         2.62         0.34
2012  1  17310000          4.39        -3.37         2.81         0.14
2012  1  17370000          4.40        -3.33         2.87         0.11
2012  1  17430000          4.12        -3.03         2.79         0.07
2012  1  17490000          4.01        -2.96         2.67         0.27
2012  1  17550000          4.07        -2.94         2.82         0.03
2012  1  17610000          4.24        -2.95         3.02        -0.15
2012  1  17670000          4.34        -3.18         2.00         1.00
2012  1  17730000          4.04        -3.25         1.87         1.42
2012  1  17790000          3.97        -3.07         2.27         1.05
2012  1  17850000          3.95        -3.23         1.96         1.15
2012  1  17910000          4.00        -3.32         1.89         1.18
2012  1  17970000          4.09        -3.20         2.35         0.91
2012  1  18030000          4.03        -3.05         2.47         0.91
2012  1  18090000          3.98        -2.92         2.61         0.61
2012  1  18150000          3.93        -2.52         2.97         0.50
2012  1  18210000          3.93        -2.62         2.83         0.69
2012  1  18270000          3.85        -2.62         2.75         0.65
2012  1  18330000          3.85        -2.62         2.77         0.42
2012  1  18390000          3.95        -2.72         2.82         0.11
2012  1  18450000          4.20        -2.84         3.01         0.39
2012  1  18510000          4.54        -3.06         3.26        -0.76
2012  1  18570000          4.60        -3.34         3.16         0.12
2012  1  18630000          4.69        -3.41         3.22         0.17
2012  1  18690000          4.76        -3.43         3.30         0.07
2012  1  18750000          4.88        -3.58         3.28        -0.24
2012  1  18810000          4.79        -3.55         3.20         0.32
2012  1  18870000          4.76        -3.74         2.94         0.20
2012  1  18930000          4.81        -3.84         2.87         0.32
2012  1  18990000          4.96        -3.97         2.89         0.68
2012  1  19050000          5.06        -4.16         2.81         0.67
2012  1  19110000          5.05        -4.01         2.94         0.85
2012  1  19170000          5.06        -4.12         2.76         1.02
2012  1  19230000          4.98        -4.09         2.66         0.93
2012  1  19290000          4.89        -3.74         2.87         1.24
2012  1  19350000          4.90        -3.68         3.03         1.10
2012  1  19410000          4.91        -3.74         2.96         1.17
2012  1  19470000          4.92        -3.66         3.11         1.00
2012  1  19530000          4.96        -3.55         3.33         0.88
2012  1  19590000          5.03        -2.89         4.05        -0.38
2012  1  19650000          4.85        -2.77         3.97         0.03
2012  1  19710000          4.81        -2.77         3.91        -0.27
2012  1  19770000          4.82        -2.82         3.86        -0.49
2012  1  19830000          4.82        -2.70         3.93        -0.70
2012  1  19890000          4.83        -2.76         3.87        -0.80
2012  1  19950000          4.79        -2.93         3.73        -0.66
2012  1  20010000          4.76        -3.26         3.46        -0.13
2012  1  20070000          4.77        -3.17         3.55        -0.22
2012  1  20130000          4.74        -3.15         3.47        -0.63
2012  1  20190000          4.64        -3.12         3.35        -0.72
2012  1  20250000          4.73        -3.14         3.43        -0.82
2012  1  20310000          4.73        -3.31         3.28        -0.77
2012  1  20370000          4.77        -3.34         3.24        -1.03
2012  1  20430000          4.77        -3.59         2.64        -1.69
2012  1  20490000          4.94        -3.69         2.84        -1.64
2012  1  20550000          4.84        -3.51         2.99        -1.44
2012  1  20610000          4.80        -3.57         2.95        -1.25
2012  1  20670000          4.66        -3.42         3.03        -0.88
2012  1  20730000          4.56        -3.59         2.64        -0.91
2012  1  20790000          4.57        -3.39         2.76        -1.28
2012  1  20850000          4.55        -3.20         2.90        -1.28
2012  1  20910000          4.70        -3.78         2.72        -0.56
2012  1  20970000          4.71        -3.89         2.63        -0.37
2012  1  21030000          4.82        -4.03         2.59        -0.37
2012  1  21090000          4.74        -3.95         2.57        -0.46
2012  1  21150000          4.75        -3.92         2.58        -0.73
2012  1  21210000          4.78        -4.01         2.43        -0.96
2012  1  21270000          4.66        -3.84         2.34        -1.21
2012  1  21330000          4.59        -3.42         2.58        -1.59
2012  1  21390000          4.52        -2.99         2.62        -2.10
2012  1  21450000          4.49        -2.64         2.68        -2.45
2012  1  21510000          4.48        -2.55         3.01        -2.04
2012  1  21570000          4.59        -2.65         2.65        -2.59
2012  1  21630000          4.51        -2.05         2.55        -3.10
2012  1  21690000          4.49        -2.40         2.25        -3.01
2012  1  21750000          4.51        -2.55         2.36        -2.87
2012  1  21810000          4.60        -2.82         2.75        -2.33
2012  1  21870000          4.31        -2.61         2.54        -2.27
2012  1  21930000          4.45        -2.73         2.53        -2.44
2012  1  21990000          4.31        -2.61         2.14        -2.65
2012  1  22050000          4.49        -2.56         2.38        -2.80
2012  1  22110000          4.48        -2.47         2.25        -2.97
2012  1  22170000          4.36        -2.44         2.13        -2.90
2012  1  22230000          4.43        -2.44         2.26        -2.93
2012  1  22290000          4.42        -2.42         2.18        -2.98
2012  1  22350000          4.26        -2.57         2.29        -2.50
2012  1  22410000          4.26        -2.75         2.37        -2.23
2012  1  22470000          4.31        -2.95         2.51        -1.86
2012  1  22530000          4.39        -3.23         2.04        -2.11
2012  1  22590000          4.46        -3.33         1.43        -2.58
2012  1  22650000          4.39        -3.04         1.92        -2.52
2012  1  22710000          4.38        -3.11         1.97        -2.36
2012  1  22770000          4.39        -3.03         2.22        -2.26
2012  1  22830000          4.39        -3.04         2.10        -2.36
2012  1  22890000          4.44        -3.16         2.02        -2.37
2012  1  22950000          4.47        -3.24         1.94        -2.38
2012  1  23010000          4.48        -3.24         1.95        -2.39
2012  1  23070000          4.47        -3.17         1.88        -2.53
2012  1  23130000          4.48        -3.16         1.88        -2.55
2012  1  23190000          4.45        -3.17         1.81        -2.54
2012  1  23250000          4.44        -3.22         1.63        -2.58
2012  1  23310000          4.32        -3.25         1.50        -2.42
2012  1  23370000          4.15        -3.22         1.59        -2.08
2012  1  23430000          3.86        -2.86         1.66        -1.97
2012  1  23490000          3.85        -2.38         1.59        -2.55
2012  1  23550000          3.93        -2.75         1.58        -2.29
2012  1  23610000          3.98        -2.75         1.47        -2.43
2012  1  23670000          3.95        -2.95         1.80        -1.90
2012  1  23730000          4.01        -3.14         1.59        -1.91
2012  1  23790000          4.05        -3.27         1.67        -1.67
2012  1  23850000          3.98        -3.32         1.85        -1.07
2012  1  23910000          3.88        -3.38         1.89        -0.31
2012  1  23970000          3.74        -3.30         1.74        -0.13
2012  1  24030000          3.84        -3.41         1.75        -0.27
2012  1  24090000          3.93        -3.51         1.75        -0.30
2012  1  24150000          3.97        -3.56         1.74        -0.24
2012  1  24210000          3.71        -3.37         1.37         0.50
2012  1  24270000          3.66        -3.37         1.20         0.68
2012  1  24330000          3.81        -3.47         1.54         0.17
2012  1  24390000          3.74        -3.42         1.52        -0.04
2012  1  24450000          3.90        -3.39         1.72        -0.42
2012  1  24510000          4.09        -2.79         2.37        -1.82
2012  1  24570000          4.09        -2.78         2.43        -1.77
2012  1  24630000          4.09        -2.92         2.35        -1.63
2012  1  24690000          4.15        -2.91         2.12        -2.02
2012  1  24750000          4.16        -2.83         2.21        -2.08
2012  1  24810000          4.15        -2.89         2.12        -2.08
2012  1  24870000          4.18        -2.77         2.24        -2.17
2012  1  24930000          4.18        -2.78         2.17        -2.24
2012  1  24990000          4.17        -2.74         2.19        -2.25
2012  1  25050000          4.15        -2.84         2.18        -2.10
2012  1  25110000          4.09        -2.75         2.21        -2.07
2012  1  25170000          4.06        -2.68         2.22        -2.09
2012  1  25230000          4.08        -2.80         2.13        -2.05
2012  1  25290000          4.07        -2.83         2.10        -2.03
2012  1  25350000          3.96        -2.67         1.96        -2.16
2012  1  25410000          3.94        -2.53         2.12        -2.14
2012  1  25470000          4.08        -2.60         2.17        -2.26
2012  1  25530000          4.14        -2.62         2.00        -2.50
2012  1  25590000          4.17        -2.45         2.00        -2.70
2012  1  25650000          3.85        -2.50         1.57        -2.09
2012  1  25710000          3.54        -3.31         1.05        -0.65
2012  1  25770000          3.64        -3.42         0.90        -0.84
2012  1  25830000          3.42        -3.22         0.71        -0.91
2012  1  25890000          3.31        -3.11         0.69        -0.89
2012  1  25950000          3.22        -3.17         0.21        -0.35
2012  1  26010000          3.11        -3.10        -0.21         0.08
2012  1  26070000          3.24        -3.22        -0.20        -0.18
2012  1  26130000          3.37        -3.25        -0.66         0.26
2012  1  26190000          3.89        -3.73         0.29        -0.99
2012  1  26250000          4.14        -3.79         0.72        -1.48
2012  1  26310000          4.12        -3.80         0.70        -1.43
2012  1  26370000          4.06        -3.81         0.63        -1.26
2012  1  26430000          3.91        -3.60         0.39        -1.45
2012  1  26490000          3.94        -3.65         0.71        -1.31
2012  1  26550000          4.03        -3.66         1.18        -1.21
2012  1  26610000          4.07        -3.63         1.44        -1.09
2012  1  26670000          4.07        -3.74         1.02        -1.18
2012  1  26730000          4.09        -3.83         0.90        -1.11
2012  1  26790000          4.11        -3.88         0.89        -1.01
2012  1  26850000          4.06        -3.79         1.03        -1.02
2012  1  26910000          3.95        -3.77         0.64        -0.95
2012  1  26970000          3.81        -3.61         0.51        -0.92
2012  1  27030000          3.77        -3.49         0.84        -1.13
2012  1  27090000          3.07        -2.80         0.60        -1.07
2012  1  27150000          3.16        -2.86         0.70        -1.08
2012  1  27210000          3.82        -3.51         1.06        -1.05
2012  1  27270000          3.71        -3.44         1.01        -0.96
2012  1  27330000          3.65        -3.36         1.08        -0.91
2012  1  27390000          3.68        -3.42         1.07        -0.86
2012  1  27450000          3.76        -3.48         1.10        -0.88
2012  1  27510000          3.64        -3.35         1.23        -0.69
2012  1  27570000          3.62        -3.23         1.29        -0.97
2012  1  27630000          2.39        -2.05         1.13        -0.39
2012  1  27690000          2.18        -1.88         0.84        -0.68
2012  1  27750000          2.31        -1.85         1.25        -0.57
2012  1  27810000          2.46        -1.97         1.42        -0.35
2012  1  27870000          2.65        -2.21         1.44        -0.20
2012  1  27930000          2.64        -2.23         1.34         0.09
2012  1  27990000          2.38        -2.05         1.20        -0.07
2012  1  28050000          2.53        -2.06         1.43         0.22
2012  1  28110000          2.46        -1.68         1.61         0.69
2012  1  28170000          2.20        -1.27         1.35         1.16
2012  1  28230000          1.68        -1.17         0.59         1.03
2012  1  28290000          1.69        -0.59         1.15         1.00
2012  1  28350000          1.58         0.08         1.17         0.91
2012  1  28410000          1.68         0.36         0.80         1.05
2012  1  28470000          1.98         1.30         0.43         1.35
2012  1  28530000          2.26         1.58         0.28         1.57
2012  1  28590000          2.68         1.24         1.65         1.68
2012  1  28650000          2.83        -0.39         2.42         0.67
2012  1  28710000          2.62         0.37         1.94         1.54
2012  1  28770000          2.28         0.13         1.86         1.23
2012  1  28830000          3.23         2.03         0.36         1.64
2012  1  28890000          3.93         3.30        -1.33         1.63
2012  1  28950000          3.98         3.42        -1.28         1.54
2012  1  29010000          3.77         3.36        -1.09         1.26
2012  1  29070000          3.72         2.86        -0.26         2.25
2012  1  29130000          3.43         2.64         0.04         2.16
2012  1  29190000          3.53         2.62         0.22         2.34
2012  1  29250000          3.52         2.60         0.68         2.27
2012  1  29310000          3.68         2.44         1.10         2.51
2012  1  29370000          3.83         3.09         0.63         2.08
2012  1  29430000          3.78         2.67         0.85         2.49
2012  1  29490000          4.03         2.69         1.32         2.67
2012  1  29550000          4.32         2.63         1.59         3.01
2012  1  29610000          4.49         2.46         2.03         3.16
2012  1  29670000          4.61         2.50         2.05         3.28
2012  1  29730000          4.67         2.62         2.23         3.16
2012  1  29790000          4.66         2.38         2.31         3.26
2012  1  29850000          4.63         2.25         2.39         3.26
2012  1  29910000          4.62         2.21         2.46         3.22
2012  1  29970000          4.69         2.33         2.49         3.22
2012  1  30030000          4.76         2.35         2.30         3.43
2012  1  30090000          4.78         2.55         2.40         3.23
2012  1  30150000          4.73         2.18         2.75         3.16
2012  1  30210000          4.81         2.28         2.87         3.11
2012  1  30270000          4.95         2.17         3.09         3.20
2012  1  30330000           NaN          NaN          NaN          NaN
2012  1  30390000          5.12         2.56         3.11         3.15
2012  1  30450000          5.14         2.47         3.11         3.26
2012  1  30510000          5.12         2.21         3.12         3.40
2012  1  30570000          5.13         2.19         3.40         3.15
2012  1  30630000          5.14         2.11         3.41         3.21
2012  1  30690000          5.15         1.93         3.52         3.22
2012  1  30750000          5.21         1.91         3.58         3.27
2012  1  30810000          5.20         1.86         3.70         3.15
2012  1  30870000          5.24         1.99         3.71         3.12
2012  1  30930000          5.28         2.07         3.86         2.95
2012  1  30990000          5.26         2.10         3.94         2.78
2012  1  31050000          5.26         1.88         3.88         3.00
2012  1  31110000          5.10         2.24         3.90         1.64
